id,name,host_id,neighbourhood,latitude,longitude,room_type,price
20910652,5 Min. Fussweg zum Oktoberfest,150264652,Sendling,48.12481,11.54597,Private room,119
20910766,Central Room in Appealing Neighbourhood,19190337,Maxvorstadt,48.14811,11.54916,Private room,100
20911118,Modern apartment Downtown Munich!,48047129,Ludwigsvorstadt-Isarvorstadt,48.13331,11.57888,Entire home/apt,204
20911318,Apartment for 2 people in the center of Munich,37645680,Au-Haidhausen,48.12766,11.58948,Entire home/apt,95
20913599,Cosy appartment in the Center of Munich!,46823831,Au-Haidhausen,48.12896,11.58667,Entire home/apt,95
20913793,Helles Zimmer Oktoberfest München Obergiesing,149660947,Untergiesing-Harlaching,48.10218,11.58153,Private room,86
20914478,Centrales gemütliches Zimmer im Herzen Münchens,150303168,Untergiesing-Harlaching,48.10499,11.5805,Private room,99
20915315,Schöne Altbauwohnung nähe Tierpark 2 Schlafzimmer,150310917,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.10499,11.5471,Entire home/apt,143
20915371,Apartment for Oktoberfest,150310980,Ludwigsvorstadt-Isarvorstadt,48.123,11.55563,Entire home/apt,95
20916042,Cosy 1 Bedroom Apartment,144926756,Sendling,48.1238,11.54063,Entire home/apt,35
20918253,Cosy apartment near Oktoberfest and Isar,2655449,Ludwigsvorstadt-Isarvorstadt,48.1211,11.55899,Entire home/apt,150
20921614,25 qm cozy room close to Okotberfest,150182050,Altstadt-Lehel,48.13191,11.56772,Private room,125
20922497,"Cozy and big, central room 15 min to Oktoberfest",89495448,Maxvorstadt,48.1541,11.56407,Private room,200
20923018,Privatzimmer in TOP- Lage zum Marienplatz,85225349,Altstadt-Lehel,48.13417,11.56651,Private room,92
20923155,Cozy room very close to Oktoberfest,11473180,Maxvorstadt,48.14795,11.54897,Private room,149
20923310,flat for Oktoberfest,150394368,Ramersdorf-Perlach,48.10803,11.64081,Private room,300
20923736,Perfect room in Munich for tourists & businessman!,150312457,Maxvorstadt,48.1517,11.5775,Entire home/apt,52
20924114,"außergewöhnlich schöne 1,5 Zimmer Atelierwohnng",119239607,Bogenhausen,48.15792,11.64481,Entire home/apt,84
20924633,Very cosy bed (12 min to oktoberfest by subway),8358936,Neuhausen-Nymphenburg,48.15262,11.53468,Private room,45
20925729,Quiet room close to oktoberfest and city center,150416372,Milbertshofen-Am Hart,48.20956,11.56328,Private room,89
20926567,Oktoberfest apartment,150422317,Schwabing-West,48.16967,11.5751,Entire home/apt,100
20927235,Zimmer am Goetheplatz,74303515,Ludwigsvorstadt-Isarvorstadt,48.12738,11.55332,Shared room,150
20927485,FLAT nearby the Oktoberfest MUC (3 minutes walk),150427339,Ludwigsvorstadt-Isarvorstadt,48.13902,11.54977,Entire home/apt,399
20927564,Calm 20 m² private room in flat near Olympic Park,117660335,Schwabing-West,48.16921,11.56247,Private room,203
20927595,OKTOBERFEST HOUSE,149717081,Milbertshofen-Am Hart,48.17906,11.55229,Entire home/apt,100
20927742,Nice room for two - friendly bavarian host,9075192,Au-Haidhausen,48.13733,11.61742,Private room,100
20927927,Cozy Room in the Center near Oktoberfest,149663351,Schwabing-Freimann,48.15495,11.5858,Private room,120
20928802,Cosy and central top floor apartment in Munich,56478751,Au-Haidhausen,48.12306,11.58031,Entire home/apt,130
20929833,City center // 20 mins from the Oktoberfest,16453409,Maxvorstadt,48.15327,11.56115,Private room,105
20929950,Moderne Wohnung direkt am Viktualienmarkt!,12990522,Altstadt-Lehel,48.13361,11.57791,Entire home/apt,200
20929954,TOP Appartement -  mit U6 direkt in die Innenstadt,150454722,Schwabing-Freimann,48.18912,11.61679,Entire home/apt,65
20930165,"kleine,gemütliche Wohnung in Nähe von der Wiesn",11485585,Sendling,48.12265,11.53915,Entire home/apt,81
20930246,Apartment in Munich perfect for Oktoberfest visit,20635853,Schwabing-West,48.15805,11.56401,Entire home/apt,95
20930482,Private & Bright Room in Historic House. Central!,144610530,Au-Haidhausen,48.13076,11.59535,Private room,108
20931363,"Lovely room, near Oktoberfest/Center, free parking",53249600,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09572,11.4918,Private room,48
20931437,Wohnung in Schwabing,43556777,Schwabing-Freimann,48.15388,11.587,Private room,50
20931476,"Room in Wonderful House, close to the Oktoberfest!",147865964,Pasing-Obermenzing,48.1431,11.47957,Private room,250
20932025,Designter Altbau - 4 Geh-Minuten zum Oktoberfest,37922643,Sendling,48.12207,11.54762,Private room,79
20932182,Room for Oktoberfest only 10 min !!!,148196428,Milbertshofen-Am Hart,48.18321,11.56835,Shared room,100
20932633,Small Room for 1 Person - close to Oktoberfest,150481709,Laim,48.13989,11.51913,Private room,49
20932687,"cozy appartment with garden, near Oktoberfest!!",33767078,Laim,48.13152,11.49417,Entire home/apt,180
20932693,Nice room with double bed -ideal for Oktoberfest,147865964,Schwabing-Freimann,48.16613,11.58113,Private room,100
20936963,Privates Zimmer Nähe Theresienwiese,150529040,Untergiesing-Harlaching,48.1041,11.57299,Private room,180
20937803,"zentrales Zimmer / near to city, nice room",150536106,Obergiesing,48.11593,11.58228,Private room,70
20937822,The Heart of Munich: Schwabing!,24389018,Schwabing-Freimann,48.16424,11.58282,Entire home/apt,210
20937981,Central Flat-4-2 athletic visitors ;-) near U6,150536059,Ludwigsvorstadt-Isarvorstadt,48.12616,11.55793,Entire home/apt,140
20938488,Cozy & quiet 1-room apartment in Munich,24592808,Sendling-Westpark,48.11501,11.51861,Entire home/apt,75
20939616,Ladies only: Oktoberfest Cozy Private Room,22361773,Schwabing-Freimann,48.20288,11.60812,Private room,76
20939712,Bed for 2 people in VW van,97214446,Schwanthalerhöhe,48.13205,11.54025,Entire home/apt,85
20940070,Bed and Breakfast in the heart of Munich,89083474,Ludwigsvorstadt-Isarvorstadt,48.13092,11.57735,Private room,103
20940102,"2 Zimmer im Penthouse, Dachterrasse, 350m U/S Bahn",9736771,Ramersdorf-Perlach,48.08726,11.64199,Private room,75
20940627,Apartment Alte Heide,41456206,Schwabing-Freimann,48.17902,11.59648,Entire home/apt,70
20941197,Cozy Room in Munich,9305892,Schwabing-Freimann,48.16586,11.58045,Private room,70
20941583,Appartement,130774723,Moosach,48.17426,11.52709,Entire home/apt,185
20941634,2nd Home =Munich; very close to Oktoberfest,40125740,Ludwigsvorstadt-Isarvorstadt,48.1362,11.55518,Private room,275
20941831,Shared flat for 4 max - next to English Garden,12128007,Schwabing-Freimann,48.16326,11.59485,Private room,99
20941933,Klein aber feines Zimmer mit Frühstück,75780320,Obergiesing,48.10162,11.58281,Private room,100
20942281,The Common Wealth - happy place to share :) room#1,112113151,Berg am Laim,48.13167,11.61801,Private room,140
20942846,Nice Flat in Obersendling - 15min from Oktoberfest,25197271,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09593,11.53955,Entire home/apt,135
20942952,Cosy flat with balcony for Oktoberfest,53822350,Hadern,48.1244,11.48206,Private room,75
20943885,Schöne zentrale City Wohnung,110933655,Ludwigsvorstadt-Isarvorstadt,48.12625,11.56576,Entire home/apt,75
20944123,Cozy and brand new apartment close to Oktoberfest,23425942,Sendling-Westpark,48.1155,11.5339,Entire home/apt,180
20944254,Doublebed with good connection to Oktoberfest :),36455178,Sendling-Westpark,48.11324,11.53392,Private room,60
20944735,Einzelzimmer mit Familienanschluss,60800941,Berg am Laim,48.12908,11.65221,Private room,68
20945016,Zimmer in Haidhausen . In der beste Lage.,150604796,Au-Haidhausen,48.12939,11.59901,Private room,80
